,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
256,Data Scientist - Manufacturing and Supply Chain,$87K – $119K/yr (Glassdoor est.),"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.
At Lilly, we serve an extraordinary purpose. We make a difference for people around the globe by discovering, developing and delivering medicines that help them live longer, healthier, more active lives. Not only do we deliver breakthrough medications, but you also can count on us to develop creative solutions to support communities through philanthropy and volunteerism.

How You Will Succeed:
As a Data Scientist, you will be responsible for analyzing complex data sets, developing predictive models, leveraging generative AI, and identifying insights that can be used to drive business decisions. You will work closely with cross-functional teams in the manufacturing and supply chain space to understand business problems, develop hypotheses, and test those hypotheses with data.
Develop and implement machine learning algorithms to analyze large data sets
Collaborate with stakeholders to understand business problems and provide data-driven solutions
Communicate insights and recommendations to technical and non-technical stakeholders
Conduct research to identify emerging trends and technologies
Manage and prioritize multiple projects simultaneously
Solve complex business problems with advanced analytics and AI/ML methods, particularly in application areas such as manufacturing, supply chain, and anomaly detection
Develop and implement predictive models
Communicate insights and recommendations to stakeholders
Collaborate with cross-functional teams
Stay up-to-date with emerging trends and technologies in data science
Ensure data quality and accuracy

Your Basic Requirements:
Ph.D. in Computer Science, Applied Mathematics focusing on Numerical Analysis, High Performance Computing, Operations Research, Physics, Engineering or quantitative related field
OR Master in Computer Science/Computer Engineering or related field with at least 4 years post graduate related working experience.
Experience with machine learning algorithms and statistical modeling
Proficiency in programming languages such as Python or R

What You Should Bring:
Proficiency in programming languages such as Python or R
Experience with machine learning algorithms and statistical modeling
Familiarity with data visualization
Strong problem-solving and analytical skills
Excellent communication and presentation skills
Ability to work in a fast-paced, collaborative environment
Strong problem-solving and analytical skills
Ability to work with diverse data sources and data types
Experience with manufacturing applications, supply chain, and anomaly detection
PhD in a relevant field
Experience with deep learning algorithms and reinforcement learning
Familiarity with cloud computing platforms such as AWS or Azure
Knowledge of generative AI applications
Experience with data engineering and data pipeline development
Strong leadership and project management skills
Attention to detail
Other Considerations:
This position is based in Indianapolis, IN
Hybrid work schedule
About the Organization:
Our Advanced Analytics and Data Sciences organization is growing to support the entire Lilly enterprise, from Discovery to Development to Manufacturing and Commercialization of our medicines. To solve the complex problems of a global business and the ever-evolving data and analytics landscape, the organization generally requires advanced degrees in statistics, mathematics, econometrics, operations research and computer science. We are playing a leading role in transforming the way the company discovers and develops new treatments, identifies personalized treatment regimens, drives efficiency in our operations and optimizes our commercialization of new products. We are doing this with an emphasis in the areas of machine learning and artificial intelligence, natural language processing and other approaches to unstructured data, advanced mathematical and predictive modeling, visual analytics and more. Whether you are intrigued by the research and development of new medicines or optimizing our commercialization/business, or driving efficiency into our operations, we have a position for you. You will be encouraged to identify important business problems and to further your own research interests in these areas including presentations and publications at professional meetings.
Come join us on our amazing journey to make life better!
Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.

Lilly is an EEO/Affirmative Action Employer and does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.
Our employee resource groups (ERGs) offer strong support networks for their members and help our company develop talented individuals for future leadership roles. Our current groups include: Africa, Middle East, Central Asia Network, African American Network, Chinese Culture Network, Early Career Professionals, Japanese International Leadership Network (JILN), Lilly India Network, Organization of Latinos at Lilly, PRIDE (LGBTQ + Allies), Veterans Leadership Network, Women’s Network, Working and Living with Disabilities. Learn more about all of our groups.
#WeAreLilly",4.1,Lilly,"Indianapolis, IN",10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
257,"Senior Data Scientist, Firefly",$127K – $229K/yr (Employer est.),,4.3,Adobe,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
258,Data Scientist,$73K – $128K/yr (Glassdoor est.),,4.3,InfoMagnus,"Huntington Beach, CA",51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
259,"Senior Data Scientist, Finance Analytics",$125K – $145K/yr (Employer est.),"About Extend:
Extend is modernizing the $100 billion-per-year protection plan industry using cutting-edge technology and top-notch customer service.
Our technology-forward omnichannel and API-first solution allows any merchant to offer protection plans, both online and in store, while also providing a merchant's end customers with a vastly improved and modern support experience that eliminates many of the issues customers face today with legacy underwriters. More recently, Extend also launched a shipping protection solution, covering consumers in the case of lost, damaged or stolen packages. This is further expanding the company’s addressable market and value creation for merchants.
We are a venture-backed startup in downtown San Francisco led by founders who have previously had multiple successful exits. Extend simplifies the technology stack for the product and shipping protection industries.
Position Title: Senior Data Scientist, Finance Analytics
Position Location: 353 Sacramento Street, Suite 2200, San Francisco, CA 94111
Hours: Monday – Friday, 8:00 am to 5:00 pm
Summary of Duties:
Position can be performed remotely anywhere in the US.

Assisting the Finance organization with projects related to revenue forecast, data and financial reporting, obligor reporting, and KPIs and metrics for tracking overall business operations.
Lead the development and implementation of revenue forecasting model, and provide insights regarding Extend’s revenue growth and business development.
Partner with the Finance team and senior leadership in facilitating the generation of financial reporting for recurring requirements such as invoicing and revenue recognition, as well as reporting to external partners (such as obligors).
Collaborating with stakeholders across the organization to establish the highest business priorities and opportunities by measuring expected reach and impact for operations-focused teams.
Leverage Business Intelligence tools to build deep-dive analytics that help measure performance of the business, as well as drive step-change improvements in efficiency (beyond day-to-day workforce management).
Performing exploratory data analysis to assemble metrics and KPIs to assess and gauge activity across the Extend platform, and support teams throughout Extend by delivering analyses and recommending process improvements to help the business continue to scale.
Help identify data anomalies and dig into root causes, provide suggestions and solutions to product and engineering teams.

MINIMUM REQUIREMENTS: Bachelor’s degree in Economics, Business Analytics, Statistics, or closely related field, or foreign equivalent plus 2 years of analysis, finance, or strategic operations experience with a digital product or service.
SPECIAL SKILLS OR OTHER REQUIREMENTS:
Can work remotely.
Experience must include:
Python and R
Experience in performing financial analysis and reporting.

Expected Pay: $124,875 - $145,125 annually*
The target base salary range for this position is listed above. Individual salaries are determined based on a number of factors including, but not limited to, work location and job-related knowledge, skills and experience. Incentive compensation will be provided as part of a total compensation package.

#LI-DNI

Life at Extend:
Working with a great team from diverse backgrounds in a collaborative and supportive environment.
Competitive salary based on experience, with full medical and dental & vision benefits.
Stock in an early-stage startup growing quickly.
Very generous, flexible paid time off policy.
401(k) with Financial Guidance from Morgan Stanley.
Extend CCPA HR Notice",3.0,Extend,"San Francisco, CA",201 to 500 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
260,Senior Data Scientist (Demand Forecasting)),$113K – $154K/yr (Glassdoor est.),"Job Description
ABOUT BOSE
You know the moment. It’s the first notes of that song you love, the intro to your favorite movie, or simply the sound of someone you love saying “hello.” It’s in these moments that sound matters most.
Innovation is more than what we do. It’s who we are — constantly learning and constantly curious. We never stop imagining what better sound sounds like. We’re music fanatics and audio engineers. We’re explorers and inventors and dreamers. And we’re passionate down to our bones about making whatever you’re listening to a little more magical.
ABOUT THE ROLE
At Bose, we aim to bring products into the world that people truly love, and we don’t stop until the details are just right. Data science, machine learning, and analytics are a crucial part of this mission. These capabilities fuel the creation of new and innovative products, helping us to bring the right products to the right customers, and allow us to astonish customers with carefully crafted and personalized experiences.
We are looking for a Senior Data Scientist, ideally with a background in demand forecasting and time-series, to join our Data Science team within our Data and Analytics CoE. As a data scientist within the CoE, your mission will be to develop world-class AI, data science, machine learning, and related solutions to solve for our biggest challenges. Within this role you will focus on driving the strategy for and building the next generation of supply chain and demand forecasting models. You will work with a cross-functional team of data scientists and partner with teams from across Bose to influence decisions that will drive a significant impact to our bottom-line and our customers.

Responsibilities:
Engage with business partners and stakeholders to understand business problems and translate them into data science solutions.
Coordinate and collaborate with data science, data engineering, analytic engineering, and other resources to achieve business goals.
Work cross-functionally with sales, product, marketing, and engineering on optimization opportunities and insights.
Lead and contribute to the end-to-end development and deployment of predictive and prescriptive models, with a focus on supply chain and demand forecasting.
Explore large datasets using modeling, analysis, and visualization techniques.
Communicate results, analyses, and methodologies to technical and non-technical senior level stakeholders.
Ability to mentor, coach, and lead others.
Contribute to and help build ML/AI vision to support business strategy.
ABOUT YOU
MS or PhD in Data Science, Machine Learning, Applied Mathematics/Statistics, or a related field.
8-10 years of experience applying data science, AI/machine learning, and analytics techniques to business problems.
4+ years of experience leading data science projects
Must have 3+ years working in demand forecasting - exp in the CE space strongly preferred.
Experience with machine learning and causal modeling techniques, with a focus on time-series forecasting.
Experience solving real-world problems using programming languages such as SQL, Spark, and Python, and deploying solutions to enterprise systems
Excellent strategic thinking, communication, collaboration, and problem-solving skills, including working with and articulating results to senior business stakeholders.
Experience with and understanding of project management tools and principles
Ideal candidates will have experience in cold-start and in-market demand forecasting.
“Our goal is to create an atmosphere where every candidate feels supported and empowered in the interviewing process. Diversity and inclusion are integral to our success, and we believe that providing reasonable accommodation is not only a legal obligation but also a fundamental aspect of our commitment to being an employer of choice. We recognize that individuals may have different needs and requirements based on their abilities, and we provide reasonable accommodations to ensure ideal conditions are met during the application process. If you believe you need a reasonable accommodation, please send a note to
wellbeing@bose.com
”
#LI-MT2
Bose is an equal opportunity employer that is committed to inclusion and diversity. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status, or any other legally protected characteristics. For additional information, please review: (1) the EEO is the Law Poster (http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf); and (2) its Supplements (http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm). Please note, the company's pay transparency is available at http://www.dol.gov/ofccp/pdf/EO13665_PrescribedNondiscriminationPostingLanguage_JRFQA508c.pdf. Bose is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the application or employment process, please send an e-mail to Wellbeing@bose.com and let us know the nature of your request and your contact information.",3.8,Bose,"Framingham, MA",5001 to 10000 Employees,1964,Company - Private,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD)
261,Data Scientist,$168K – $252K/yr (Employer est.),"Anduril Industries is a defense technology company with a mission to transform U.S. and allied military capabilities with advanced technology. By bringing the expertise, technology, and business model of the 21st century’s most innovative companies to the defense industry, Anduril is changing how military systems are designed, built and sold. Anduril’s family of systems is powered by Lattice OS, an AI-powered operating system that turns thousands of data streams into a realtime, 3D command and control center. As the world enters an era of strategic competition, Anduril is committed to bringing cutting-edge autonomy, AI, computer vision, sensor fusion, and networking technology to the military in months, not years.
The Vehicle Autonomy (Robotics) team at Anduril develops aerial and ground-based robotic systems. The team is responsible for taking products like Ghost, Anvil, and our Sentry Tower from paper sketches to operational systems. We work in close coordination with specialist teams like Perception, Autonomy, and Manufacturing to solve some of the hardest problems facing our customers. We are looking for software engineers and roboticists excited about creating a powerful robotics stack that includes computer vision, motion planning, SLAM, controls, estimation, and secure communications.
As a Data Scientist at Anduril, you will dive into unique, complex challenges that come with the territory of high-stakes, advanced technology in the defense sector. Your expertise will drive innovation in autonomous systems, shaping the future of defense and intelligence with solutions that are deployed at unparalleled speed. If you're eager to leverage your data science skills in an environment that encourages bold ideas and offers the resources to turn them into reality, Anduril provides the perfect platform to propel your career and make a tangible difference in a world entering a new era of strategic competition. Join us and be part of the transformation that's setting new standards for military capabilities and security.

WHAT YOU'LL DO
Conduct in-depth data analysis using Python, MATLAB, and relevant tools to address complex problems, define key performance indicators for autonomous vehicle systems, and effectively communicate analytical insights to stakeholders.
Collaborate cross-functionally with engineering, product management, and fellow data scientists to apply advanced statistical techniques, informing strategic decisions and guiding the development of roadmaps for enhancing vehicle performance based on data-driven insights.
Develop, optimize, and oversee autonomous vehicle data infrastructure, including the creation and management of software tools, data catalogs, and robust data pipelines that facilitate efficient data extraction, transformation, and delivery of high-quality data products for internal use and stakeholder presentation.
Spearhead technical investigations to diagnose operational issues and analyze performance trends, providing leadership in the interpretation of data and formulation of solutions to improve system reliability and efficiency.
Design and implement analytics-driven customer-facing products that showcase system performance metrics, provide trend analysis, and enhance user understanding and experience with our autonomous vehicle platforms.
CORE QUALIFICATIONS
A background in Mathematics, Statistics, Computer Science, Data Science, or a related technical field with a strong quantitative foundation.
Demonstrated expertise in Python with a robust portfolio of projects showcasing the development, validation, and deployment of predictive models and data products. Proficiency with machine learning frameworks such as PyTorch, TensorFlow, and Scikit-Learn is essential.
Familiarity with Unix/Linux environments, including proficiency with the command line interface and the ability to efficiently manage and navigate distributed computing systems.
Exceptional data visualization skills, with proficiency in using visualization tools (e.g., Plotly, Matplotlib, Seaborn) and business intelligence platforms (e.g., Tableau, Power BI) to translate complex data insights into accessible visual formats for diverse audiences.
A proven track record of effectively working with large and complex datasets, as well as the capacity to quickly understand and work within established codebases and complex system architectures.
A strong commitment to applying data science to solve real-world problems, with the ability to translate technical findings into actionable recommendations that have a tangible impact.
Current US Person status (U.S. citizen or permanent resident) with the ability to obtain and maintain a U.S. Department of Defense (DOD) Secret Clearance or higher. Prior clearance or experience working in secure environments is highly desirable.
Excellent communication and collaboration skills, with the ability to engage effectively with multidisciplinary teams, including engineers, product managers, and non-technical stakeholders.
PREFERRED QUALIFICATIONS
Experience with cloud computing platforms (e.g., AWS, GCP, Azure) and familiarity with containerization (e.g., Docker, Kubernetes) is highly beneficial.
Knowledge of best practices in data governance, ethics, and privacy, as well as experience with data security and compliance requirements relevant to sensitive and classified information.
Leadership experience, with the ability to mentor junior data scientists and lead project teams in the execution of complex data science initiatives.
Experience working with terabyte-scale data, robotics data formats (e.g. MCAP, HDF5), and dataframes (e.g. Pandas, PySpark).
US Salary Range
$168,000—$252,000 USD

The salary range for this role is an estimate based on a wide range of compensation factors, inclusive of base salary only. Actual salary offer may vary based on (but not limited to) work experience, education and/or training, critical skills, and/or business considerations. Highly competitive equity grants are included in the majority of full time offers; and are considered part of Anduril's total compensation package. Additionally, Anduril offers top-tier benefits for full-time employees, including:
Platinum Healthcare Benefits: For U.S. roles, we offer top tier platinum coverage (medical, dental, vision) that are 100% covered by Anduril for you and 90% covered for your dependents.
For UK roles, Private Medical Insurance (PMI): Anduril will cover the full cost of the insurance premium for an employee and dependents.
For AUS roles, Private health plan through Bupa: Coverage is fully subsidized by Anduril.
Basic Life/AD&D and long-term disability insurance 100% covered by Anduril, plus the option to purchase additional life insurance for you and your dependents.
Extremely generous company holiday calendar including a holiday hiatus in December, and highly competitive PTO plans.
16 weeks of paid Caregiver & Wellness Leave to care for a family member, bond with your baby, or tend to your own medical condition.
Family Planning & Parenting Support: Fertility (eg, IVF, preservation), adoption, and gestational carrier coverage with additional benefits and resources to provide support from planning to parenting.
Mental Health Resources: We provide free mental health resources 24/7 including therapy, life coaching, and more. Additional work-life services, such as free legal and financial support, available to you as well.
A professional development stipend is available to all Andurilians.
Daily Meals and Provisions: For many of our offices this means breakfast, lunch and fully stocked micro-kitchens.
Company-funded commuter benefits available based on your region.
Relocation assistance (depending on role eligibility).
401(k) retirement savings plan - both a traditional and Roth 401(k). (US roles only)
The recruiter assigned to this role can share more information about the specific compensation and benefit details associated with this role during the hiring process.
Anduril is an equal-opportunity employer committed to creating a diverse and inclusive workplace. The Anduril team is made up of incredibly talented and unique individuals, who together are disrupting industry norms by creating new paths towards the future of defense technology. All qualified applicants will be treated with respect and receive equal consideration for employment without regard to race, color, creed, religion, sex, gender identity, sexual orientation, national origin, disability, uniform service, Veteran status, age, or any other protected characteristic per federal, state, or local law, including those with a criminal history, in a manner consistent with the requirements of applicable state and local laws, including the CA Fair Chance Initiative for Hiring Ordinance. We actively encourage members of recognized minorities, women, Veterans, and those with disabilities to apply, and we work to create a welcoming and supportive environment for all applicants throughout the interview process. If you are someone passionate about working on problems that have a real-world impact, we'd love to hear from you!
To view Anduril's candidate data privacy policy, please visit https://anduril.com/applicant-privacy-notice/.",4.2,ANDURIL INDUSTRIES,"Costa Mesa, CA",1001 to 5000 Employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
262,Data Scientist Lead,$124K – $205K/yr (Employer est.),"JOB DESCRIPTION

You enjoy shaping the future of product innovation as a core leader, driving value for customers, guiding successful launches, and exceeding expectations. Join our dynamic team and make a meaningful impact by delivering high-quality products that resonate with clients. The data architecture team drives data architecture design, data modeling, AI/ML development and adoption to support data-driven execution across all Commercial Bank business processes. As a Data Scientist Lead, you will participate in design and development of machine learning programming, data product development, and analytics, with a focus on using data to improve efficiency and adoption.
Job Responsibilities
Demonstrates a strong passion for AI/ML and analytics with the ability to drive capability development using advanced ML techniques and statistical methodologies.
Displays excellent knowledge of commonly used AI/ML methodologies and algorithms in financial service industry and good understanding of data product features and underlying proprietary data, AI/ML algorithms and processes.
Leading AI/ML program development, implementation, and communication, in partnership with Data Architecture and Data Engineering teams, to enable new products/features, resolve issues, and make recommendations.
Improving core competency and processing efficiency via agile process best practice and sustained collaboration with all team members and partners.
Required Qualifications, capabilities, and skills
Master’s degree in a quantitative field such as mathematics, statistics, computer science or engineering
Advanced data mining and EDA (Exploratory Data Analysis) skills, understanding of various data structures and data transformation.
Knowledge and expertise in NLP, Graph ML and Reinforcement Learning apart from understanding supervised & unsupervised learning.
Strong ability to develop and debug in Python (must) and advanced SQL.
Strong project management skills – the ability to manage multiple projects and prioritize work requirements to work in a multi-disciplinary team setting.
3+ years of experience with machine learning APIs and computational packages (e.g., Scikit-Learn, NumPy, SciPy, Pandas).
5 + years of experience with big-data technologies such as Hadoop, Spark, SparkML, etc.
Preferred Qualifications, capabilities, and skills
Ability to design or evaluate intrinsic and extrinsic metrics of your ML programs’ performance which are aligned with business goals.
Ability to independently research and propose alternatives with some guidance as to problem relevance.
Experience working with commercial data and graph database/programming tools.
ABOUT US
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.
We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. For those in eligible roles, we offer discretionary incentive compensation which may be awarded in recognition of firm performance and individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.
JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans



ABOUT THE TEAM

Commercial Banking is focused on helping our clients succeed and making a positive difference in our communities. We provide credit and financing, treasury and payment services, international banking and real estate services to clients including corporations, municipalities, institutions, real estate investors and owners, and nonprofit organizations.",4.0,JPMorgan Chase & Co,"Seattle, WA",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
263,Senior Data Scientist,$114K – $160K/yr (Glassdoor est.),,4.3,University of Massachusetts Lowell,"Lowell, MA",1001 to 5000 Employees,--,College / University,Colleges & Universities,Education,Less than $1 million (USD)
264,SENIOR DATA SCIENTIST,$116K – $156K/yr (Employer est.),,3.3,Los Angeles County Department of Human Resources,United States,10000+ Employees,--,Government,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD)
265,"IT Data Scientist, Staff",$133K – $199K/yr (Employer est.),"Company:
Qualcomm Incorporated
Job Area:
Information Technology Group, Information Technology Group > IT Data Scientist
General Summary:
Principal Duties & Responsibilities
Work on functional design, process design (including scenario design, flow mapping), prototyping, testing, training, and defining support procedures, in collaboration with an advanced engineering team and executive leadership.
Fine-tune a large language model using custom content (documents, data, etc)
Articulate and document the solutions architecture and lessons learned for each exploration and accelerated incubation.
Serve as liaison between stakeholders and project teams, delivering feedback and enabling team members to make necessary changes in product performance or presentation.
5 or more years of experience in applying AI and machine learning techniques to practical and comprehensive technology solutions.
Expert in ML, deep learning, TensorFlow, Python, NLP and Transformer architecture.
Experience in deploying LLMs, embedding model/sentence transformers in production use cases.
Thorough knowledge in basic algorithms, object-oriented and functional design principles, and best-practice patterns
Experience in REST API development, NoSQL database design, and RDBMS design.
Experience in fine-tuning a large language model using custom content (documents, data, code).
Preferred Qualifications
Masters Degree in Computer Science or related field.
Experience in implementing projects involving end to end ML/NLP systems from development to deployment.
Experience with relevant machine learning/deep learning frameworks such as Pytorch
Experience working in a distributed team and communicating across geographic boundaries
Experience with cloud environments
Working knowledge of Rust is a plus.
Although this role has some expected minor physical activity, this should not deter otherwise qualified applicants from applying. If you are an individual with a physical or mental disability and need an accommodation during the application/hiring process, please call Qualcomm’s toll-free number found here for assistance. Qualcomm will provide reasonable accommodations, upon request, to support individuals with disabilities as part of our ongoing efforts to create an accessible workplace.
Qualcomm is an equal opportunity employer and supports workforce diversity.
To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.
EEO Employer: Qualcomm is an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or any other protected classification.
Qualcomm expects its employees to abide by all applicable policies and procedures, including but not limited to security and other requirements regarding protection of Company confidential information and other confidential and/or proprietary information, to the extent those requirements are permissible under applicable law.

Pay range:
$133,000.00 - $199,000.00
The above pay scale reflects the broad, minimum to maximum, pay scale for this job code for the location for which it has been posted. Even more importantly, please note that salary is only one component of total compensation at Qualcomm. We also offer a competitive annual discretionary bonus program and opportunity for annual RSU grants (employees on sales-incentive plans are not eligible for our annual bonus). In addition, our highly competitive benefits package is designed to support your success at work, at home, and at play. Your recruiter will be happy to discuss all that Qualcomm has to offer!
If you would like more information about this role, please contact Qualcomm Careers.",4.0,Qualcomm,"San Diego, CA",10000+ Employees,1985,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
266,"Senior Principal Scientist, AI/ML applied to Drug Design - Data Science Analytics & Insights",$135K – $232K/yr (Employer est.),"Johnson & Johnson Innovative Medicine is recruiting for a Senior Principal Scientist to help advance Artificial Intelligence/Machine Learning (AI/ML) for Drug Design. The primary and preferred location for this position is Titusville, NJ. Consideration may be given for candidates located in United Kingdom, Belgium, and Switzerland. Remote work options may be considered on a case-by-case basis and if approved by the Company.
At Johnson & Johnson Innovative Medicine, we are working to create a world without disease—transforming lives by finding new and better ways to prevent, intercept, treat and cure disease. We bring together the best minds and pursue the most promising science. We are Johnson & Johnson Innovative Medicine. We collaborate with the world for the health of everyone in it.
At Johnson & Johnson, we believe health is everything. Our strength in healthcare innovation empowers us to build a world where complex diseases are prevented, treated, and cured, where treatments are smarter and less invasive, and solutions are personal. Through our expertise in Innovative Medicine and MedTech, we are uniquely positioned to innovate across the full spectrum of healthcare solutions today to deliver the breakthroughs of tomorrow, and profoundly impact health for humanity. Learn more at https://www.jnj.com/.
The Data Science and Digital Health Analytics & Insights team within Johnson & Johnson Innovative Medicine develops innovative solutions using a variety of data sources across multiple different disease areas, encompassing oncology, cardiovascular and metabolic disorders, immunology, neuroscience, and infectious disease. We are looking for a highly motivated and innovative Senior Principal Scientist who will work at the development of novel AI/ML approaches, applied to drug design.
KEY RESPONSIBILITIES:
Conceive, develop, and implement AI/ML solutions applied to drug design problems, including but not limited to, de novo protein design, molecule structure predictions, molecule property predictions, geometry learning, large models for molecules, and AI-based optimization
Manage and lead large projects through all stages (ideation, planning, execution and delivery), and develop research proposals, study synopsis, protocols, analysis plans, progress reports and delivery decks
Work closely with a cross disciplinary team of data scientists, structural biologist, and computational biologists, imaging experts, and leverages cross-domain expertise to contribute to a rigorous scientific evidence package strategically aligned with the drug discovery needs and strategy
Expand external scientific visibility and reputation of Johnson & Johnson Innovative Medicine by driving publications in top tier journals and conferences (ICLR, ICML, AAAI, Nature/Science etc), and leading scientific seminars and discussion forums
Has hands-on coding expertise, and reviews and provides high quality feedback on computer codes
Proactively develop and mentor junior colleagues within and outside the function
Qualifications
Ph.D. in Electrical Engineering/Computer Science/Statistics/Applied Math or other related majors, with at least 6 years of relevant experience after Ph.D. completion
Expertise in AI / ML applied to molecule design is required.
Leadership and scientific experience, as measured by publications in top tier AI conferences, industry achievements, patents, and high-level presentation skills are required.
Proficiency with one or more programming language such as Python or C++ is required. Proficiency in one or more AI frameworks such as PyTorch or Tensorflow is required.
Extensive experience in developing state of the art AI/ML models to address drug design challenges is required. Examples may include; Large Language Models for biology, de novo drug design using Generative AI, geometric deep learning, structure-based prediction of bioactivity, etc.
Ability to Influence and engage the strategic and technical partners in a matrix organization for successful project ideation, execution and delivery, and has a track record of successfully executing and delivering strategic projects is required.
Able to communicate highly technical information to a diverse in cross-functional settings, and collaborate effectively with external or academics partners is required.
Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability. The anticipated base pay range for this position is $135,000 to $232,300. The compensation and benefits information set forth in this posting applies to candidates hired in the United States. Candidates hired outside the United States will be eligible for compensation and benefits in accordance with their local market. The Company maintains highly competitive, performance-based compensation programs. Under current guidelines, this position is eligible for an annual performance bonus in accordance with the terms of the applicable plan. The annual performance bonus is a cash bonus intended to provide an incentive to achieve annual targeted results by rewarding for individual and the corporation’s performance over a calendar/performance year. Bonuses are awarded at the Company’s discretion on an individual basis.
Employees and/or eligible dependents may be eligible to participate in the following Company sponsored employee benefit programs: medical, dental, vision, life insurance, short- and long-term disability, business accident insurance, and group legal insurance. Employees may be eligible to participate in the Company’s consolidated retirement plan (pension) and savings plan (401(k)).
Employees are eligible for the following time off benefits:
Vacation – up to 120 hours per calendar year
Sick time - up to 40 hours per calendar year; for employees who reside in the State of Washington – up to 56 hours per calendar year
Holiday pay, including Floating Holidays – up to 13 days per calendar year
Work, Personal and Family Time - up to 40 hours per calendar year
For additional general information on Company benefits, please go to: - https://www.careers.jnj.com/employee-benefits. For more information on how we support the whole health of our employees throughout their wellness, career and life journey, please visit www.careers.jnj.com.
This job posting is anticipated to close on 03/29/2024. The Company may however extend this time-period, in which case the posting will remain available on https://www.careers.jnj.com to accept additional applications.
https://www.careers.jnj.com/data-science
IND7",4.2,Johnson & Johnson,"Titusville, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
